SSN,condition_1,condition_2,condition_3,condition_4,condition_5,condition_6,condition_7,condition_8,condition_9,condition_10
000-98-3354,1,1,1,0,0,0,1,1,1,1
000-48-8250,1,1,1,1,1,1,1,0,0,1
000-82-9526,1,1,0,0,1,0,0,1,1,0
000-28-1559,1,0,1,0,1,0,0,1,0,0
000-68-8719,0,1,0,1,0,0,1,1,1,0
000-17-3534,0,1,0,0,1,1,1,1,1,1
000-13-7760,1,0,1,0,0,1,1,0,1,0
000-42-4250,1,1,1,0,0,0,1,0,0,0
000-24-2849,1,1,0,0,0,0,1,0,1,0
000-06-9061,1,0,0,1,0,0,0,0,1,1
000-37-8364,1,1,0,0,1,0,0,1,0,1
000-78-1504,0,0,0,1,1,1,0,0,1,1
000-43-9978,0,1,0,0,0,0,0,1,1,0
000-67-3279,1,0,0,0,0,1,1,0,1,0
000-00-0745,0,1,0,0,1,1,1,0,1,1
000-08-6290,0,0,0,0,0,0,1,0,0,0
000-55-1283,1,1,0,1,0,1,1,1,1,0
000-17-0197,1,0,0,1,0,1,1,0,1,1
000-15-9140,1,0,1,0,1,0,1,1,1,0
000-58-4142,1,0,1,0,1,1,0,1,1,0
000-70-6541,1,1,0,1,0,0,1,0,1,1
000-49-6251,1,1,1,1,0,1,0,1,1,1
000-43-7393,0,1,0,0,0,1,1,1,1,0
000-44-0723,1,1,1,0,0,1,0,1,1,1
000-94-8735,0,1,0,0,1,1,0,0,0,0
000-85-4341,0,0,0,1,1,0,0,1,1,0
000-83-0969,0,0,0,0,1,0,0,1,0,1
000-55-0849,1,1,1,0,0,1,1,1,0,1
000-51-2580,1,0,0,0,1,0,1,1,1,0
000-67-6994,1,1,0,1,1,0,0,0,0,1
000-93-6979,0,1,0,1,1,1,0,0,0,0
000-37-7621,0,0,1,1,0,1,0,0,1,1
000-94-0687,1,0,1,1,0,0,0,0,1,1
000-23-7964,1,1,0,1,1,1,0,1,1,0
000-90-6135,1,0,0,1,0,1,0,0,0,0
000-68-3558,0,1,1,0,0,1,1,0,1,0
000-14-1040,0,1,1,0,1,0,0,0,1,0
000-19-4123,1,1,0,1,1,1,1,1,0,0
000-33-5961,0,0,1,1,1,0,0,1,0,1
000-17-1639,1,1,0,0,1,1,1,0,0,1
000-51-6302,0,0,1,0,0,1,0,0,1,1
000-34-5748,1,1,0,1,0,0,1,0,0,1
000-51-7664,0,1,1,0,1,1,1,0,1,0
000-60-6099,0,1,1,1,0,0,0,1,0,0
000-82-7886,1,1,1,0,1,1,0,0,1,0
000-20-2687,1,0,1,0,1,0,0,0,0,1
000-03-2954,0,0,1,1,0,0,0,1,1,1
000-61-9464,1,1,1,0,1,0,0,1,0,1
000-34-5284,1,1,0,1,1,1,1,0,0,0
000-26-2791,0,1,1,0,0,1,1,1,1,0
000-87-6923,0,0,1,1,0,0,1,0,1,1
000-14-3884,0,0,1,1,0,0,1,1,0,0
000-77-3124,1,0,1,1,0,1,1,0,0,0
000-56-9617,0,1,0,0,0,0,1,1,1,0
000-75-4802,0,1,0,1,1,0,1,0,0,1
000-71-5971,0,1,1,0,0,0,0,0,1,0
000-14-9639,1,1,1,1,1,1,0,1,0,0
000-84-1621,0,0,1,1,1,0,1,0,0,1
000-75-0215,0,0,0,1,0,1,1,0,1,0
000-49-5033,0,0,1,1,0,1,1,1,0,0
000-00-2703,1,0,0,0,0,0,1,0,0,1
000-20-4830,0,0,0,1,1,0,0,0,1,1
000-68-1265,0,0,0,1,0,1,0,1,1,1
000-63-4040,1,1,1,1,0,0,1,0,1,0
000-67-1926,1,1,0,0,1,1,0,1,0,0
000-31-3318,1,1,0,0,0,0,0,0,1,1
000-32-6824,1,1,0,0,1,1,1,1,1,1
000-56-1137,1,0,1,0,1,1,1,0,0,1
000-78-5962,1,0,1,1,0,1,1,0,1,1
000-28-3630,0,0,1,0,0,1,1,1,1,0
000-19-4074,0,1,1,0,1,0,0,0,1,1
000-69-1634,1,1,0,0,0,1,1,1,0,1
000-26-7171,0,1,1,1,0,1,0,1,0,0
000-66-0121,0,0,0,1,0,1,0,1,1,0
000-36-0435,0,1,1,1,0,1,1,1,0,0
000-31-4688,0,1,1,0,0,1,0,0,0,1
000-30-6097,1,1,0,1,0,1,0,1,1,0
000-80-8704,0,1,1,0,1,1,0,1,1,0
000-94-5088,0,1,0,0,0,1,1,0,1,1
000-63-8908,0,0,0,0,1,1,1,1,0,0
000-50-1171,0,0,1,0,1,0,0,1,1,0
000-47-0983,1,1,0,0,0,1,0,1,0,0
000-55-5958,0,0,0,0,1,0,0,1,1,1
000-76-3494,1,0,0,1,1,1,1,1,1,1
000-42-4362,0,0,1,0,1,1,1,0,0,0
000-37-1802,0,0,0,0,0,1,1,0,0,1
000-40-4133,0,1,1,0,0,0,1,0,0,0
000-60-5300,1,1,1,1,1,1,0,0,0,1
000-22-7796,1,1,1,0,1,0,1,0,1,0
000-98-6826,1,0,1,0,1,1,1,0,0,1
000-94-4464,1,0,1,1,0,1,1,0,1,1
000-46-4077,1,1,0,0,0,1,0,0,1,0
000-71-5191,0,1,0,0,0,0,0,0,0,1
000-83-8976,0,0,1,1,1,1,0,0,1,0
000-60-1988,0,0,0,0,0,0,1,0,0,1
000-79-6726,0,0,0,0,0,1,1,1,1,1
000-15-9631,1,0,0,1,0,0,1,0,0,1
000-51-5753,0,1,0,1,0,1,0,0,1,1
000-61-4299,0,0,0,1,0,1,0,0,1,1
000-49-5632,0,1,0,0,0,1,0,0,1,0
000-84-7428,0,1,1,1,0,0,0,0,1,0
000-26-6272,0,1,1,1,0,0,0,1,0,0
000-11-1228,1,0,0,0,1,1,1,1,0,1
000-01-7735,0,1,0,0,1,1,1,1,0,0
000-92-5741,0,1,0,1,0,1,0,1,0,0
000-68-7674,1,1,0,0,1,1,1,1,1,0
000-84-5047,0,0,1,1,1,1,1,1,1,1
000-29-9314,0,1,1,1,1,0,1,1,1,1
000-15-5321,0,0,0,0,0,0,0,1,0,1
000-22-0460,1,0,1,0,1,1,0,1,1,0
000-55-4576,1,0,1,1,0,0,1,1,1,1
000-38-2270,1,0,1,0,1,1,1,1,0,0
000-92-2004,0,0,1,0,1,1,0,0,1,1
000-11-9171,1,1,1,1,0,1,1,0,0,1
000-23-6090,1,1,1,1,0,0,1,1,0,1
000-76-2347,0,0,0,1,1,0,1,1,0,0
000-44-4441,0,0,0,1,1,0,1,1,0,0
000-79-1114,0,1,0,1,0,1,0,1,1,0
000-75-1392,0,1,0,1,0,1,1,1,0,1
000-54-0439,0,1,1,1,0,1,1,1,0,1
000-50-7163,0,0,1,1,0,1,1,1,1,0
000-61-7147,0,1,1,1,1,1,0,0,1,0
000-87-9213,1,0,1,0,0,0,0,0,0,1
000-26-6785,0,1,0,0,1,0,0,1,1,1
000-91-1328,0,1,0,0,0,1,1,0,0,1
000-79-8543,0,0,1,0,1,1,1,0,0,0
000-35-9606,1,1,1,1,1,1,1,1,1,1
000-98-8803,0,1,1,1,0,0,0,0,1,0
000-51-7821,0,1,0,1,1,1,1,1,0,0
000-94-9436,0,1,0,0,1,1,0,1,0,0
000-96-3774,1,0,0,1,0,0,0,0,1,0
000-62-7701,1,1,0,0,0,0,0,1,1,0
000-46-1442,1,1,1,0,1,1,0,0,1,0
000-02-0654,1,1,1,1,0,1,0,0,0,0
000-72-5087,0,1,0,1,1,1,0,0,1,0
000-22-1843,1,0,0,1,0,1,1,1,1,0
000-13-4128,0,1,0,1,1,0,1,0,1,1
000-11-2988,0,0,0,1,1,1,0,0,0,1
000-52-5462,0,1,0,0,0,0,0,1,0,0
000-98-6826,0,1,1,1,0,0,0,1,0,1
000-05-0374,1,0,0,0,0,1,0,0,1,0
000-91-8387,0,1,1,0,1,0,1,0,1,0
000-94-4059,1,1,0,1,1,0,0,0,0,0
000-09-0320,1,0,1,1,0,1,1,1,1,1
000-56-4038,1,1,1,0,0,0,0,1,1,0
000-98-4891,0,0,1,1,0,0,1,0,1,0
000-09-9143,1,0,1,0,0,1,1,0,1,1
000-05-7058,0,0,0,0,1,0,1,1,1,1
000-63-2483,0,1,0,1,0,0,1,0,0,1
000-98-9807,1,0,1,0,1,1,1,0,0,0
000-00-9008,1,0,1,1,0,1,0,0,0,0
000-09-3008,1,0,1,1,0,0,0,0,1,0
000-28-6802,1,0,1,0,1,0,1,0,1,1
000-74-9279,1,0,1,1,1,0,1,1,1,1
000-29-8386,0,1,1,0,1,1,0,1,1,0
000-44-8806,0,1,0,1,0,0,1,1,0,0
000-90-1460,0,0,0,1,1,1,0,0,1,0
000-37-0154,0,0,1,0,0,1,1,1,0,1
000-19-0237,1,1,0,0,0,1,0,1,1,1
000-43-0049,0,0,1,1,0,0,0,0,0,1
000-55-7388,0,1,0,1,0,0,1,1,0,1
000-47-2271,0,0,0,1,1,1,1,1,1,1
000-03-3345,0,0,0,0,1,0,1,0,0,0
000-63-6105,0,1,1,0,1,0,0,1,1,0
000-85-3839,1,0,0,1,1,1,0,0,1,0
000-50-5459,1,1,1,0,0,0,1,0,0,0
000-02-7945,0,1,0,1,0,0,1,0,1,0
000-17-6550,0,1,0,1,1,1,0,0,0,1
000-70-8810,0,0,0,0,0,1,0,1,1,1
000-99-5743,1,1,1,1,0,0,0,0,0,1
000-02-0408,1,0,1,0,0,0,1,0,1,1
000-96-1825,0,0,1,1,1,1,1,0,0,0
000-34-9479,0,0,0,0,1,1,1,0,1,0
000-70-9424,1,0,1,0,0,1,0,0,1,0
000-79-2237,0,1,0,0,1,0,0,1,0,0
000-59-5608,0,0,1,1,0,0,0,0,1,0
000-05-9100,1,1,1,0,0,0,1,0,1,1
000-49-3028,1,0,1,1,0,1,0,1,1,0
000-41-3618,0,0,1,1,1,0,0,0,0,1
000-10-7931,0,0,1,0,0,1,0,0,0,0
000-10-9786,1,1,1,0,0,1,1,0,0,0
000-76-1030,1,1,1,1,0,0,1,1,0,1
000-74-3928,1,1,0,1,1,1,1,1,0,0
000-65-3846,0,0,1,1,1,1,1,1,1,1
000-50-8820,0,1,1,1,0,0,0,0,1,0
000-41-5810,1,1,0,1,0,1,0,1,1,0
000-25-5640,0,1,1,0,1,1,1,1,1,0
000-07-2352,1,0,1,0,1,0,0,0,1,1
000-40-2805,1,1,1,1,0,0,0,0,1,1
000-30-8454,1,1,0,1,0,0,1,1,1,0
000-53-1103,1,0,0,1,1,0,1,0,0,1
000-73-3894,1,0,0,1,0,0,1,1,0,1
000-08-7005,0,1,0,0,1,0,0,1,0,0
000-75-3841,1,1,1,0,1,0,1,0,1,1
000-96-1657,1,1,1,0,1,0,1,0,0,1
000-54-3708,1,1,1,0,0,1,1,0,1,1
000-29-1562,1,1,0,1,1,0,0,1,1,0
000-04-3699,0,0,0,1,1,0,0,0,0,0
000-86-7234,1,1,1,1,0,1,1,1,1,0
000-49-9487,1,1,0,0,0,0,0,1,1,0
000-50-3889,1,1,1,1,0,1,1,0,0,0
000-39-4902,0,1,1,0,0,1,0,1,1,1
000-83-2389,1,0,0,1,1,1,1,1,1,0
000-67-3739,0,1,1,0,0,1,1,0,0,1
000-58-4760,0,0,0,1,1,0,1,1,0,1
000-01-9387,1,1,0,1,0,0,1,1,1,0
000-78-1996,1,1,1,1,0,1,1,0,1,1
000-95-3055,0,1,0,0,1,1,0,1,1,0
000-63-5432,1,1,0,1,1,0,0,0,0,1
000-71-9984,1,0,1,1,1,0,0,0,1,0
000-76-6616,0,1,1,0,1,1,1,0,1,0
000-82-6442,0,1,1,1,1,1,0,1,0,0
000-31-7357,0,1,0,1,1,1,1,0,0,1
000-11-0155,1,1,1,1,1,1,1,1,1,0
000-98-6020,0,1,0,0,0,0,1,0,0,1
000-48-6336,1,0,0,0,0,0,1,1,0,1
000-66-6079,0,0,1,0,1,1,1,0,0,1
000-40-8718,1,0,0,1,0,0,1,0,0,0
000-51-5356,0,1,1,1,0,0,0,0,0,1
000-28-1215,1,0,0,0,1,0,1,1,0,1
000-91-3129,0,0,0,0,1,1,1,0,0,1
000-51-7132,1,1,0,0,0,0,0,1,0,0
000-44-7392,1,0,0,1,1,1,1,0,1,0
000-14-4130,1,1,1,1,1,0,0,0,0,0
000-52-5680,1,1,1,1,1,0,0,0,0,1
000-45-8725,1,0,1,1,1,0,1,1,0,0
000-95-1527,0,0,1,1,1,0,0,0,1,0
000-12-5281,0,1,1,1,1,0,0,0,0,0
000-46-4419,0,1,1,1,0,1,1,1,0,1
000-34-2749,1,1,0,1,1,1,0,1,0,1
000-56-3599,0,0,1,1,0,0,0,1,1,0
000-29-3574,0,1,0,0,1,0,1,0,1,0
000-16-3188,0,0,0,1,0,1,0,1,1,0
000-82-1574,1,1,1,0,1,0,0,1,0,0
000-70-6444,1,0,0,1,0,1,0,1,0,1
000-27-2076,0,1,0,0,1,1,1,1,1,0
000-98-7338,0,0,1,1,1,1,1,1,1,1
000-31-8187,1,0,0,1,1,1,0,1,0,1
000-01-0027,1,1,0,1,1,1,0,1,0,1
000-93-0240,1,1,1,1,0,0,0,1,0,0
000-49-8786,1,1,1,1,1,0,1,1,1,0
000-52-8280,1,1,1,1,0,0,0,0,1,1
000-89-9148,1,1,1,1,1,1,1,1,1,1
000-68-5822,1,1,1,1,0,1,0,1,1,0
000-96-6438,1,1,0,1,1,0,0,0,0,1
000-37-4555,1,1,0,1,1,0,1,0,0,0
