SSN,condition_1,condition_2,condition_3,condition_4,condition_5,condition_6,condition_7,condition_8,condition_9,condition_10
000-45-1887,0,1,1,0,0,0,0,1,0,0
000-60-8050,1,1,0,1,1,0,0,0,0,0
000-76-3375,0,0,1,1,0,0,0,0,0,0
000-15-5390,0,1,0,0,1,0,0,0,1,0
000-79-2408,0,1,1,0,0,1,0,1,0,1
000-47-1463,0,0,0,0,0,0,1,1,0,1
000-43-4853,0,0,0,0,0,1,0,0,0,0
000-89-5485,1,1,0,0,1,1,0,0,0,1
000-68-5833,1,1,1,0,0,1,1,0,0,1
000-05-3613,1,0,0,1,0,1,1,1,0,0
000-26-3398,0,0,1,0,1,1,1,0,0,1
000-10-0037,1,0,0,0,0,0,1,1,0,0
000-86-7529,0,0,1,0,1,0,0,0,0,0
000-26-9721,1,1,0,0,1,1,1,0,1,0
000-03-9706,1,1,0,1,1,1,1,1,0,1
000-85-4290,1,1,0,1,1,1,1,0,1,0
000-08-6560,0,1,0,1,1,0,1,1,0,1
000-51-1965,0,0,1,0,1,1,0,0,0,0
000-11-9964,1,0,1,0,0,0,0,1,0,1
000-83-9248,0,0,1,0,1,1,1,0,0,1
000-94-5191,0,1,1,0,0,1,1,0,1,0
000-50-0583,0,1,1,0,1,0,0,0,0,0
000-07-1164,0,0,0,0,0,1,1,0,0,1
000-14-6916,1,0,0,0,0,1,1,1,1,1
000-95-3577,1,1,0,0,0,0,1,1,1,0
000-92-5428,1,1,0,1,1,1,0,1,0,1
000-42-5567,1,0,1,0,0,0,1,1,0,0
000-39-1127,0,0,1,0,0,0,0,0,0,0
000-25-6818,1,1,0,1,1,0,0,0,0,0
000-11-1254,0,1,0,1,0,0,1,1,1,0
000-12-0246,1,1,1,1,0,1,1,0,1,1
000-14-3834,0,0,0,0,0,0,0,1,1,0
000-92-0497,1,1,1,0,1,0,0,0,1,1
000-53-4702,0,0,1,0,1,0,1,1,0,1
000-74-8908,0,0,0,0,1,1,0,0,1,0
000-64-3019,0,1,1,0,1,0,0,0,0,1
000-00-1844,1,1,0,1,0,1,1,1,0,0
000-34-5125,1,1,1,1,1,0,0,1,0,1
000-83-8240,1,0,0,0,1,0,0,1,0,1
000-09-3473,0,1,1,1,1,0,1,0,0,0
000-44-1262,0,0,0,0,0,1,0,1,0,0
000-34-3797,1,0,1,0,0,0,0,1,0,1
000-58-3528,1,1,0,1,1,0,0,1,1,1
000-13-2618,1,0,0,0,0,1,0,1,1,1
000-74-5917,0,1,0,0,1,1,0,0,1,1
000-53-3112,0,1,1,0,1,1,0,0,0,0
000-86-4137,0,0,1,0,0,1,1,1,1,0
000-97-4187,0,1,0,1,0,0,0,1,0,1
000-83-8047,0,0,1,1,0,0,1,1,1,0
000-21-3606,1,0,0,0,1,1,1,1,0,0
000-59-8056,0,0,0,1,1,1,1,0,0,0
000-46-9937,1,1,0,1,1,0,1,0,0,0
000-89-7353,1,0,0,0,1,0,0,0,0,1
000-53-0674,1,1,1,0,0,1,1,0,1,0
000-26-5620,0,0,0,0,1,1,1,1,1,0
000-77-7993,1,0,1,0,1,0,0,0,1,0
000-59-5282,1,1,0,1,0,1,0,0,0,1
000-69-2545,0,0,0,1,0,0,0,1,0,0
000-82-6254,0,1,1,1,0,1,0,1,1,1
000-30-5933,0,1,1,0,1,1,1,0,0,1
000-74-4472,0,1,0,1,1,0,1,0,0,0
000-10-3770,0,0,0,0,0,0,0,1,0,0
000-94-5004,1,1,0,1,1,0,0,0,0,0
000-95-1065,0,0,0,0,1,1,0,1,0,0
000-16-3818,0,0,0,1,1,1,1,0,1,1
000-10-2743,0,0,1,1,0,0,1,0,1,0
000-54-3138,0,1,1,1,1,1,0,1,1,1
000-45-2878,0,1,0,1,1,0,0,0,0,1
000-11-4693,1,0,0,0,1,0,0,0,0,1
000-30-9821,1,1,1,0,0,1,1,1,1,1
000-74-6103,0,1,0,0,0,0,1,1,1,0
000-07-7385,1,1,0,1,1,1,1,0,0,1
000-34-0580,0,1,0,1,1,1,0,1,1,1
000-12-5258,1,1,0,1,0,0,0,0,0,0
000-34-8295,0,1,1,0,1,0,1,1,0,1
000-56-3384,1,0,0,0,1,1,1,0,1,1
000-48-0511,0,1,0,1,0,1,1,0,0,1
000-93-0570,1,1,1,0,1,1,0,0,1,1
000-45-6721,0,0,1,1,1,1,1,0,1,0
000-86-5889,0,0,0,0,1,0,0,0,1,1
000-67-9453,0,0,0,1,1,1,1,0,0,1
000-21-2819,1,0,0,1,0,1,1,0,1,1
000-65-7497,0,1,0,1,1,1,0,1,1,0
000-02-7186,1,0,0,1,0,1,0,1,0,0
000-29-2676,1,0,0,1,0,1,0,1,1,1
000-82-4843,1,1,1,0,0,1,0,0,0,1
000-61-6194,1,1,0,1,0,0,1,1,0,1
000-35-7207,0,0,0,1,1,1,1,0,0,0
000-32-1365,1,0,1,1,0,0,1,1,1,1
000-77-7242,0,1,0,0,1,0,1,1,0,0
000-40-0914,1,0,0,0,0,1,1,1,1,0
000-01-2252,0,1,0,0,1,1,1,1,1,0
000-18-1380,1,0,0,0,1,1,0,0,1,1
000-68-7713,0,0,0,0,0,1,1,1,0,0
000-14-9306,1,1,0,0,0,0,0,1,0,1
000-79-6441,1,1,1,0,0,1,0,0,1,0
000-92-5557,1,0,1,0,1,1,0,1,0,1
000-74-5272,1,0,1,1,1,1,0,1,0,1
000-95-4054,1,1,1,0,0,0,1,1,1,1
000-71-7871,1,0,1,0,1,1,0,1,0,0
