SSN,condition_1,condition_2,condition_3,condition_4,condition_5,condition_6,condition_7,condition_8,condition_9,condition_10
000-12-4216,0,0,0,1,0,1,1,0,1,0
000-65-6970,1,1,1,0,0,1,1,1,0,0
000-40-8617,0,0,0,1,1,0,1,1,0,0
000-55-0146,0,0,1,1,1,0,0,0,0,1
000-49-2663,0,0,0,1,1,1,0,1,0,0
000-49-4907,0,0,1,0,1,0,1,0,1,1
000-28-1053,1,1,1,0,1,1,1,1,0,0
000-16-7521,0,1,1,1,0,0,1,0,0,0
000-86-0937,0,0,0,0,1,1,0,0,1,0
000-22-1234,0,0,0,0,0,0,0,0,0,1
000-27-9050,1,0,1,0,1,1,0,1,1,0
000-34-9142,1,1,1,1,1,1,0,0,1,1
000-27-0350,0,1,1,1,0,0,0,1,1,1
000-92-1006,0,1,1,0,1,0,1,1,0,0
000-29-2755,0,0,1,0,0,0,1,1,1,0
000-77-8496,1,0,1,0,0,0,1,0,0,1
000-92-9393,0,1,1,1,1,0,0,0,1,0
000-22-1427,1,1,1,1,1,1,0,1,1,1
000-60-9683,1,1,0,1,0,0,0,0,0,1
000-01-8230,1,1,1,1,0,1,0,1,0,1
000-28-0880,0,0,1,1,1,0,0,1,0,1
000-63-1065,1,0,1,0,0,0,1,0,1,0
000-46-0588,1,0,1,1,0,1,1,1,1,1
000-95-2262,0,1,0,1,0,1,1,0,1,1
000-41-3861,1,0,1,1,1,0,1,1,0,0
000-80-1235,1,1,0,0,0,1,1,1,0,1
000-78-7859,1,0,1,1,0,0,0,0,1,0
000-94-7358,1,0,0,1,0,1,0,1,0,1
000-75-7855,0,0,0,0,1,1,1,0,1,1
000-21-8965,0,0,0,0,0,1,1,0,0,0
000-12-6609,1,0,0,0,0,1,0,1,1,1
000-53-7358,1,0,0,1,1,1,0,1,0,0
000-64-6554,0,0,1,1,0,1,0,1,1,1
000-63-8044,0,1,0,0,1,1,1,0,1,0
000-63-2596,1,0,0,0,0,1,1,1,1,0
000-25-9032,1,1,0,1,0,0,0,1,0,0
000-65-6183,1,1,0,1,1,0,0,1,0,1
000-41-1441,0,1,1,0,0,0,1,0,1,1
000-08-7992,0,0,1,0,0,0,0,0,1,1
000-52-7607,1,0,1,1,0,0,1,0,1,0
000-97-2857,1,1,0,1,0,0,0,1,0,1
000-61-9855,1,1,1,0,0,1,1,1,1,1
000-68-3893,0,1,0,0,0,0,0,1,1,0
000-59-1935,1,0,1,1,1,1,0,1,1,1
000-37-9637,1,1,0,0,0,1,0,1,1,0
000-81-5348,1,0,1,1,1,0,0,1,1,1
000-36-2070,0,1,0,1,1,0,0,0,0,1
000-13-6661,1,0,0,0,1,0,1,0,0,0
000-87-5634,0,1,0,1,0,1,1,0,0,0
000-85-6428,1,1,0,1,0,0,1,1,1,0
000-73-4718,1,0,0,1,1,1,1,1,1,1
000-14-9330,1,1,0,0,1,1,0,0,0,0
000-04-4512,1,0,1,0,0,1,0,1,0,0
000-57-9957,1,1,0,0,0,0,0,0,0,1
000-85-4146,0,1,0,0,0,0,1,0,1,0
000-46-3578,1,0,0,0,1,0,1,0,1,1
000-05-0947,0,1,1,1,1,1,0,1,0,0
000-98-5688,0,1,0,0,1,0,0,1,0,0
000-55-7176,0,0,1,0,1,0,0,0,1,0
000-75-5276,0,1,1,0,1,1,0,1,0,0
000-18-2207,0,1,0,0,1,1,0,0,0,1
000-58-7140,0,1,0,1,0,0,1,1,0,1
000-10-9465,0,1,0,0,0,0,0,1,0,0
000-66-9616,1,1,0,0,0,1,1,1,1,0
000-46-0622,0,1,1,0,0,0,0,0,0,1
000-16-7065,1,0,1,0,0,0,1,1,1,1
000-79-5977,1,0,0,1,0,0,0,1,0,1
000-13-2268,1,0,0,1,0,1,0,0,1,1
000-03-1118,0,0,1,0,1,1,0,0,1,1
000-06-3304,1,0,1,1,0,1,1,0,0,0
000-26-0384,1,0,0,0,0,0,1,0,1,0
000-38-3656,0,0,1,0,0,0,1,1,1,1
000-51-6922,1,1,1,0,1,1,0,0,1,1
000-87-0838,1,0,1,0,0,0,1,0,1,1
000-58-1311,1,1,0,1,0,0,0,1,1,1
000-02-7240,0,0,0,0,1,1,0,1,1,1
000-47-0565,0,1,0,0,0,1,1,0,1,0
000-79-3653,1,1,1,0,0,1,0,1,1,0
000-12-4522,0,1,1,0,0,1,0,0,1,1
000-47-3873,1,0,0,0,0,1,1,1,0,1
000-47-4071,1,0,0,0,1,0,1,0,1,0
000-53-3211,1,0,1,1,1,0,0,0,1,1
000-88-9375,0,0,0,1,1,1,1,0,1,1
000-03-4127,0,1,0,0,0,0,0,1,1,0
000-99-4390,0,0,1,0,1,1,0,1,1,0
000-69-8935,1,1,0,1,0,0,0,1,1,1
000-11-3604,0,1,0,0,0,0,0,0,0,1
000-31-9263,1,1,0,1,0,1,1,1,1,1
000-92-6955,0,0,1,0,1,1,1,0,1,0
000-00-3857,0,0,1,0,1,1,1,1,1,1
000-46-4465,1,0,0,0,0,0,1,1,0,0
000-66-4767,0,1,0,1,0,0,1,1,1,1
000-64-8864,1,1,0,0,0,0,0,0,1,1
000-86-8009,0,0,1,0,1,1,1,1,1,0
000-38-9544,0,0,0,0,1,0,1,1,0,1
000-66-2251,0,0,0,0,1,1,1,1,0,0
000-04-5642,1,0,1,0,1,1,0,1,0,0
000-87-7440,0,1,0,1,1,1,0,0,0,1
000-59-0971,0,0,0,0,0,0,0,0,1,1
000-85-4053,1,1,0,1,0,0,0,0,1,0
000-74-1830,0,0,0,0,1,1,1,0,1,0
000-99-8954,1,0,1,1,1,1,0,0,1,0
000-45-4088,0,0,0,1,1,0,0,0,0,1
000-75-2762,0,0,1,0,1,1,0,0,1,1
000-27-4896,1,0,0,1,0,1,1,1,0,1
000-39-3013,0,1,0,1,1,0,0,1,1,1
000-84-5814,0,0,1,0,1,1,0,1,0,0
000-72-8537,0,0,1,1,1,1,0,1,0,1
000-01-9751,1,1,1,0,0,0,1,1,1,1
000-70-9230,0,1,0,1,1,0,1,1,1,0
000-04-9344,1,0,1,1,1,0,0,0,1,0
000-50-0648,1,1,0,1,0,0,0,1,1,0
000-19-6992,1,0,1,1,0,0,0,0,1,0
000-39-4363,1,0,0,0,1,0,1,1,0,1
000-65-7579,0,1,0,0,0,0,1,0,1,0
000-20-2397,0,0,0,1,1,0,0,0,0,1
000-94-7992,0,0,0,1,0,0,1,0,1,1
000-95-9128,1,0,1,1,1,0,1,1,1,1
000-05-3861,0,1,0,0,1,1,1,1,1,1
000-83-5381,1,1,0,0,0,0,1,1,1,0
000-52-4481,0,0,0,1,0,0,0,1,0,0
000-10-1415,1,0,0,0,0,1,0,1,0,0
000-46-3961,1,1,1,0,0,0,0,0,1,0
000-65-2863,0,0,0,0,1,1,1,1,0,0
000-36-2422,0,1,1,1,0,0,0,0,0,1
000-22-0053,0,0,0,1,0,0,1,0,1,0
000-42-3950,1,0,1,1,0,1,0,1,1,1
000-23-0868,0,0,1,0,1,1,1,1,0,1
000-48-8695,1,0,1,0,1,0,1,1,0,1
000-74-2182,1,0,0,0,1,1,1,0,0,1
000-68-8025,1,1,1,0,1,1,0,0,0,0
000-59-9298,1,1,0,1,0,1,1,1,1,1
000-94-3379,0,1,0,1,0,0,1,1,0,0
000-82-9708,0,1,0,0,0,0,1,1,1,1
000-65-5849,0,1,1,0,1,1,1,1,0,1
000-04-8973,0,1,0,0,0,0,0,1,0,1
000-26-1243,1,0,1,1,1,0,1,0,0,0
000-78-5961,0,0,1,1,0,1,0,0,1,0
000-47-5117,0,0,0,0,1,1,1,1,1,0
000-90-8472,1,0,0,0,1,1,1,1,1,1
000-60-2792,0,0,0,0,1,0,0,0,0,0
000-67-7815,1,0,1,1,1,1,0,1,0,0
000-55-4894,1,0,1,0,1,0,0,0,1,1
000-34-1906,0,0,0,0,1,1,1,1,1,1
000-14-0241,0,0,1,1,0,1,0,1,1,1
000-76-1781,1,0,1,1,1,0,1,1,1,1
000-37-2105,1,1,0,1,0,1,0,1,1,0
000-73-7934,1,0,0,1,0,0,1,0,1,0
000-80-6439,1,0,0,0,0,1,1,0,0,0
000-36-3485,1,1,0,1,0,1,0,1,1,1
000-44-7258,1,0,0,0,0,1,1,1,0,1
000-78-7828,0,0,1,0,0,1,1,1,0,1
000-54-3267,0,1,0,0,1,1,1,0,0,1
000-89-0436,1,0,1,1,1,0,0,1,0,1
000-05-4322,1,1,1,0,0,0,0,0,0,0
000-18-0878,0,0,0,0,1,0,1,0,0,1
000-76-9506,0,1,0,1,1,0,0,0,1,0
000-78-5577,0,0,0,1,0,1,1,1,1,1
000-02-2132,1,1,1,1,0,0,1,1,0,0
000-65-8082,0,0,1,1,0,1,1,0,1,1
000-32-0052,1,0,0,0,0,0,0,1,1,0
000-97-2075,1,0,0,0,1,0,1,0,1,0
000-13-0748,1,0,0,0,1,1,0,0,1,0
000-43-7782,1,0,0,1,1,1,0,1,1,0
000-74-8772,0,0,0,1,1,1,0,1,1,0
000-88-2603,0,0,1,0,0,1,1,0,1,0
000-05-6823,0,1,0,1,1,0,0,0,1,0
000-63-2644,1,1,0,1,1,0,1,0,0,1
000-55-8214,1,1,1,1,0,0,0,1,1,0
000-49-9140,1,1,0,1,0,0,0,0,0,0
000-17-4961,1,0,1,1,0,1,0,1,0,0
000-73-1737,1,1,0,0,0,1,0,1,1,0
000-01-5825,0,0,0,0,0,1,1,0,1,0
000-30-9526,0,1,1,1,1,1,1,1,1,0
000-19-4415,1,0,0,1,0,1,1,1,1,0
000-75-2386,0,0,0,0,0,0,1,0,1,0
000-76-0690,0,1,1,0,0,1,1,1,1,1
000-02-8791,0,1,1,1,0,0,1,0,1,0
000-94-4376,0,1,1,0,0,1,0,0,0,0
000-04-4114,0,0,1,0,0,1,0,0,0,0
000-74-2977,1,0,0,1,0,1,1,1,0,1
000-90-5549,1,0,0,0,0,0,0,1,0,0
000-65-2941,1,1,1,1,1,0,1,0,1,1
000-35-7251,0,1,0,0,0,1,0,1,1,0
000-84-8297,0,1,0,1,1,1,1,0,0,0
000-89-4159,0,1,0,1,1,1,1,1,1,1
000-22-7532,0,1,0,1,1,0,0,0,0,1
000-18-3116,0,0,1,0,0,1,1,1,1,1
000-22-7375,0,0,0,0,1,1,0,0,0,1
000-45-2786,0,0,1,0,0,1,0,0,0,1
000-33-4404,1,1,1,0,1,0,1,1,1,0
000-81-5539,1,1,0,0,0,0,0,0,1,1
000-60-3263,1,0,1,1,1,1,1,0,1,0
000-13-5306,1,1,1,0,1,1,0,0,0,1
000-40-8925,0,0,0,0,0,1,0,1,0,1
000-12-5067,1,0,0,1,0,1,1,1,1,0
000-26-5690,1,0,0,1,1,1,1,0,1,0
000-33-8335,1,0,0,0,0,0,0,1,1,0
000-20-4343,1,0,1,0,1,1,0,1,1,0
000-16-3053,0,1,1,0,1,0,1,0,1,1
000-44-8716,0,0,0,0,1,1,0,0,0,0
000-63-1774,0,1,0,1,0,0,1,0,1,0
000-99-4809,0,0,0,0,1,0,0,0,1,0
000-04-3950,1,0,1,0,1,0,1,0,1,0
000-50-0318,1,0,1,0,1,0,1,0,1,1
000-65-5090,0,1,0,0,1,1,0,0,0,1
000-53-4414,0,1,1,1,0,0,0,1,1,1
000-06-3751,0,0,1,1,1,1,1,0,0,1
000-93-4466,0,0,1,1,0,1,1,1,0,1
000-30-4541,0,1,0,0,0,0,1,1,0,1
000-03-4034,1,0,1,1,0,0,1,1,1,1
000-70-6892,0,1,0,0,1,0,0,1,0,0
000-01-5258,1,1,0,1,0,0,0,0,1,0
000-58-1858,0,1,0,1,0,1,1,1,0,1
000-49-4675,0,0,1,1,0,1,1,1,0,0
000-99-9507,1,0,0,1,0,1,1,0,0,0
000-95-9547,1,0,0,0,0,0,1,1,1,1
000-90-3386,1,0,1,1,1,0,1,1,0,0
000-96-4698,0,1,1,0,1,1,1,0,0,1
000-90-6037,0,1,1,1,0,0,0,0,1,1
000-66-3423,1,1,0,1,1,0,1,1,0,1
000-55-0570,0,1,0,0,0,1,0,1,1,1
000-31-3663,1,1,0,0,0,1,0,1,0,1
000-75-5436,1,0,0,0,1,1,1,0,1,0
000-44-5179,0,1,0,0,0,0,0,0,0,0
000-21-1018,1,0,0,0,0,1,0,1,0,1
000-38-9925,1,1,1,0,0,1,1,0,1,1
000-02-3608,0,0,1,1,0,0,0,1,1,0
000-19-2579,1,1,1,0,1,1,1,0,0,1
000-90-7124,1,1,0,0,0,0,0,0,1,0
000-20-7126,0,1,1,1,1,1,1,1,1,0
000-36-4586,1,1,0,1,0,0,1,1,1,0
000-90-0452,0,0,0,1,1,0,0,1,0,0
000-47-1728,0,0,1,1,0,0,0,0,1,1
000-46-3338,1,0,0,1,1,1,0,0,0,1
000-52-3903,0,1,1,1,1,1,0,0,0,0
000-71-9404,0,1,0,1,0,0,1,0,0,0
000-93-5922,0,1,0,1,0,1,0,0,1,0
000-36-7263,0,1,1,1,1,0,0,0,1,1
000-70-6033,1,1,1,0,1,1,0,0,1,0
000-19-5840,1,0,1,1,1,1,1,1,0,0
000-17-0510,0,0,1,1,1,0,0,0,0,1
000-39-2682,0,1,1,0,0,0,1,0,1,1
000-01-4040,0,0,1,0,0,0,0,1,0,0
000-35-1690,0,0,0,1,0,1,1,1,1,0
000-43-2835,1,0,1,1,0,0,0,0,0,1
000-62-2885,0,1,0,0,1,0,0,0,1,0
000-35-6782,0,1,0,0,0,1,1,1,1,0
000-88-8844,1,1,0,0,0,0,0,0,1,1
000-50-7670,0,1,1,1,0,1,0,0,1,0
000-98-3166,0,0,1,1,1,0,0,1,0,0
000-13-1289,1,1,0,0,1,0,1,0,0,0
000-13-5945,0,1,1,1,0,0,0,1,0,0
000-20-1071,1,0,1,1,0,0,1,1,1,0
000-49-0733,1,0,0,0,0,0,1,0,0,1
000-15-6002,1,1,1,1,0,0,1,1,0,1
000-05-0634,1,0,0,0,1,1,0,1,1,0
000-38-2401,1,1,0,0,1,1,0,1,0,1
000-84-9202,0,0,0,0,0,0,1,0,0,0
000-14-4908,0,0,0,1,1,0,0,1,0,1
000-54-2501,0,0,1,1,0,0,1,1,0,1
000-97-8334,0,0,0,1,1,1,0,1,0,1
000-66-4209,1,0,0,0,1,1,1,1,0,0
000-51-5790,1,1,1,0,0,0,0,1,0,0
000-87-0195,0,0,1,1,0,0,0,0,1,1
000-52-2931,0,0,0,1,0,0,0,1,0,0
000-20-2605,1,0,1,0,1,0,0,1,0,1
000-77-9195,0,1,1,0,0,1,1,0,1,0
000-31-7028,0,1,0,1,1,1,0,1,0,0
000-69-8861,0,0,1,1,0,0,1,1,0,1
000-33-4850,0,0,0,1,0,1,1,1,0,1
000-80-7826,0,1,1,1,0,1,1,1,1,0
000-39-9952,0,0,0,0,0,1,0,1,0,1
000-62-0171,0,1,1,0,0,0,0,0,1,0
000-45-3723,1,0,0,0,0,1,0,0,1,1
000-31-0392,0,1,0,1,0,1,1,0,1,1
000-32-7465,1,0,0,0,0,0,0,0,1,1
000-30-1279,1,1,1,0,1,0,0,1,1,1
000-66-6966,0,0,1,0,0,0,0,0,1,0
000-94-4445,1,1,0,1,0,0,0,1,0,1
000-06-5640,0,0,1,1,1,1,0,1,0,0
000-34-6054,0,1,1,1,1,1,1,1,0,0
000-09-6990,0,1,0,1,0,0,1,1,0,0
000-98-4006,0,1,1,0,0,1,1,0,0,0
000-49-6450,0,0,0,1,0,0,0,0,0,0
000-44-3466,1,1,0,0,1,1,0,1,1,0
000-18-0922,1,0,1,1,0,1,1,0,0,1
000-53-3154,0,1,0,0,0,0,0,1,0,0
000-82-4425,0,1,1,1,1,0,1,0,1,0
