SSN,condition_1,condition_2,condition_3,condition_4,condition_5,condition_6,condition_7,condition_8,condition_9,condition_10
000-97-9950,0,1,1,1,1,1,1,0,1,0
000-75-9806,0,1,0,0,0,1,0,1,0,1
000-74-4148,1,0,0,1,1,1,1,0,1,0
000-32-9770,1,0,0,0,1,1,0,1,1,1
000-53-9069,1,1,1,0,1,1,0,0,0,1
000-50-6936,1,1,0,0,0,1,0,1,0,1
000-74-2599,1,1,1,0,1,1,0,1,0,0
000-25-9448,0,1,0,0,0,0,0,0,1,1
000-02-9489,1,1,0,0,1,1,0,1,1,1
000-22-0523,1,0,1,1,0,0,1,0,0,1
000-22-7710,1,1,1,0,0,0,0,0,1,0
000-88-8690,1,1,0,0,1,0,0,0,1,0
000-74-5981,0,1,1,0,0,1,1,1,0,0
000-49-8674,1,1,0,0,0,0,0,0,0,1
000-97-0770,0,1,0,0,0,0,0,1,1,0
000-56-7318,0,1,0,1,1,1,0,1,0,1
000-75-6329,1,0,1,1,1,1,1,1,0,0
000-80-2352,0,0,0,0,1,1,0,1,1,0
000-17-4158,1,1,1,0,0,0,0,0,0,1
000-71-2152,1,1,1,1,0,1,0,1,1,0
000-64-9530,1,1,0,0,1,0,1,0,0,1
000-11-9700,0,1,0,0,1,0,1,0,1,0
000-07-1245,0,1,0,1,1,1,0,1,1,1
000-58-0924,0,0,0,0,0,0,0,0,0,0
000-42-9968,1,1,1,1,1,1,1,0,1,1
000-62-5980,1,1,0,1,1,0,0,0,0,0
000-11-5022,0,0,0,1,1,0,1,1,0,1
000-96-8868,0,0,0,1,1,1,0,1,1,1
000-73-3250,0,1,1,1,1,0,1,1,0,1
000-61-0018,1,0,1,1,0,1,0,0,0,1
000-00-1594,1,0,1,1,0,1,1,1,0,0
000-79-7579,1,0,1,0,1,0,0,0,0,0
000-41-8300,1,0,0,0,1,0,1,1,1,1
000-09-1062,0,0,0,0,1,0,0,1,1,0
000-18-3722,1,0,1,0,1,1,1,0,1,0
000-22-7338,1,0,0,1,0,1,1,0,1,0
000-33-0386,1,1,0,0,0,1,1,1,1,0
000-03-6918,0,0,0,1,0,1,1,1,1,1
000-39-8492,0,0,1,0,1,1,0,0,0,1
000-85-6833,0,1,0,1,0,1,0,0,1,1
000-24-9756,1,0,0,0,0,1,1,0,0,1
000-84-0332,0,1,0,1,1,1,0,0,0,0
000-34-0355,0,0,0,0,1,0,0,0,0,0
000-26-7575,0,1,0,0,0,0,1,1,0,0
000-57-0688,0,0,0,1,1,0,1,1,1,0
000-99-7916,1,0,1,0,0,0,1,1,0,0
000-73-6947,0,1,1,1,0,0,0,1,0,0
000-32-4207,0,0,1,0,0,0,0,0,0,0
000-87-8715,1,0,1,1,1,0,1,0,0,0
000-58-2719,1,1,1,0,1,0,0,1,0,0
000-63-6183,0,1,0,1,0,0,1,1,1,0
000-57-6994,1,0,0,1,0,1,1,0,1,1
000-23-0155,1,0,1,1,0,1,0,0,0,0
000-02-7230,1,0,1,1,1,1,1,1,0,1
000-94-2349,1,0,0,1,0,1,1,1,0,0
000-10-4808,1,0,1,0,1,0,0,1,1,1
000-31-0800,1,1,0,0,1,1,0,0,0,0
000-64-1749,1,1,0,0,0,0,1,0,0,0
000-44-4485,0,0,1,0,0,1,1,1,0,1
000-70-3852,0,1,0,1,0,1,0,1,0,0
000-52-7771,0,1,1,0,0,0,0,1,1,0
000-88-5370,1,1,1,1,0,1,0,0,1,0
000-71-2854,1,1,1,0,1,1,0,0,0,0
000-31-3390,0,1,1,1,1,1,1,1,0,1
000-36-7272,1,1,1,1,1,1,0,1,0,0
000-69-4642,1,1,1,0,0,1,1,1,0,0
000-23-9570,0,0,1,1,1,1,1,0,1,1
000-59-7266,1,1,1,0,1,1,0,1,0,1
000-30-5271,0,0,0,1,0,0,0,0,1,1
000-96-9028,0,0,1,1,1,1,0,1,1,0
000-64-1686,1,0,1,0,1,0,1,0,1,0
000-07-1065,0,0,1,0,1,1,0,1,0,0
000-37-9913,0,0,1,1,0,0,0,0,1,0
000-10-5500,1,1,0,1,1,1,1,1,1,1
000-39-0430,0,1,1,1,0,1,0,1,0,1
000-44-9654,1,1,0,1,1,1,1,0,0,0
000-00-4944,1,1,0,1,0,0,0,1,1,1
000-26-3451,0,0,0,0,0,1,1,1,0,1
000-98-9322,0,0,1,0,1,1,0,0,1,0
000-05-3392,0,0,0,1,1,0,0,0,0,0
000-83-6471,0,1,1,0,0,1,0,0,0,0
000-99-1428,1,0,1,1,0,0,0,0,0,1
000-78-4785,0,0,0,0,1,0,1,1,1,0
000-36-2266,0,0,1,1,0,1,1,0,0,1
000-68-7889,1,0,0,1,1,1,1,1,0,1
000-94-5049,1,0,0,0,1,0,1,0,0,0
000-76-4324,1,0,1,1,1,1,1,0,1,0
000-29-2505,1,0,0,1,0,1,1,1,1,0
000-71-2621,1,0,1,0,1,0,0,1,0,0
000-45-8214,1,1,0,1,0,0,1,0,1,1
000-00-6702,1,0,0,0,0,0,0,1,1,0
000-52-8987,0,0,0,1,1,1,1,1,1,1
000-90-4804,0,1,0,1,1,1,0,1,0,1
000-32-4040,1,1,0,1,0,0,0,0,1,0
000-56-1396,1,0,0,1,1,1,0,1,1,0
000-43-0446,0,1,1,1,1,0,1,0,1,0
000-24-9495,1,0,0,0,1,1,0,0,0,1
000-53-7274,1,0,0,1,1,1,1,0,1,0
000-24-0374,0,1,0,1,0,1,1,0,0,1
000-23-4538,0,1,0,0,0,0,1,1,0,0
