SSN,condition_1,condition_2,condition_3,condition_4,condition_5,condition_6,condition_7,condition_8,condition_9,condition_10
000-90-9238,0,0,1,0,1,0,1,0,1,0
000-33-6487,1,1,1,0,1,0,1,0,1,0
000-29-6723,0,0,0,1,0,0,1,1,1,0
000-91-9415,0,1,1,0,0,1,0,0,0,1
000-54-9674,0,1,0,1,1,1,0,1,0,1
000-56-0360,0,0,0,1,1,0,0,1,0,0
000-92-6640,0,0,0,0,0,0,0,0,0,0
000-33-4819,1,0,1,1,1,1,1,1,1,1
000-94-7615,0,1,0,0,1,0,1,1,0,0
000-95-8643,1,1,1,1,1,1,1,0,1,1
000-76-5457,1,0,1,1,0,0,1,0,0,1
000-51-3948,1,0,0,1,1,0,0,1,1,1
000-65-1300,1,1,1,0,1,0,0,1,0,1
000-80-0553,1,0,0,0,1,0,0,0,1,0
000-52-8679,1,1,1,0,0,1,1,1,0,0
000-85-8204,0,1,1,1,1,1,1,1,1,0
000-40-2608,0,0,1,1,1,0,0,1,1,1
000-95-1414,1,0,0,0,0,0,1,0,1,1
000-52-7991,1,1,1,1,0,0,0,0,1,0
000-58-7046,1,1,1,1,0,1,0,1,1,0
000-53-1992,0,0,1,1,0,0,0,1,0,0
000-06-4559,1,0,1,1,0,1,1,1,0,0
000-26-1734,0,0,0,1,0,1,1,0,0,0
000-29-1017,1,0,0,0,0,0,1,0,1,1
000-96-4207,1,1,1,1,1,1,1,1,1,1
000-54-7956,1,0,0,1,1,0,1,1,1,0
000-43-0502,1,0,0,0,0,1,0,0,0,0
000-06-2406,0,1,1,0,1,0,0,0,0,1
000-13-3427,1,0,0,0,1,0,1,1,0,0
000-01-8030,1,0,1,1,1,1,0,0,0,1
000-68-9884,0,0,0,1,0,1,0,0,1,0
000-55-3944,1,0,0,1,0,1,1,1,1,0
000-84-9439,1,1,0,1,0,0,0,1,0,1
000-38-1772,0,1,0,0,0,0,0,0,1,0
000-11-9822,1,1,1,0,1,1,1,0,0,0
000-26-7865,1,0,0,1,1,1,0,1,1,0
000-96-8959,1,0,0,1,0,0,0,0,0,1
000-89-1636,0,0,0,0,1,1,0,1,0,0
000-97-4359,1,1,1,0,0,0,1,0,0,0
000-50-3834,1,1,1,1,0,1,0,1,1,0
000-93-0057,0,0,1,0,0,1,1,0,0,0
000-83-1419,1,1,0,0,1,1,0,1,1,0
000-75-6867,1,0,1,0,1,1,0,0,0,1
000-13-3932,1,0,0,1,0,0,1,1,1,0
000-96-7656,0,1,1,0,0,1,1,0,1,1
000-22-1550,1,0,0,1,0,0,1,1,0,1
000-96-3932,0,1,0,1,0,0,1,0,1,0
000-34-3451,1,1,1,1,1,1,0,1,1,0
000-98-0422,1,1,1,1,1,0,0,1,0,1
000-11-6768,1,0,0,0,0,0,1,0,0,1
000-83-3781,1,1,1,1,1,1,1,1,1,0
000-64-2213,1,1,1,1,1,0,1,1,0,1
000-74-1200,0,1,0,1,0,0,0,0,0,0
000-64-2664,0,1,1,0,0,1,1,0,1,0
000-89-4399,1,1,0,1,1,0,1,1,1,0
000-50-4551,1,0,1,0,1,1,1,1,0,1
000-64-6632,1,1,0,0,0,1,1,0,0,1
000-84-7317,0,1,1,1,0,0,0,0,1,1
000-65-2004,0,1,1,1,0,0,0,1,0,0
000-78-9154,1,0,1,1,1,1,0,0,1,1
000-08-8367,1,1,0,1,1,0,0,0,1,1
000-70-2900,0,1,1,0,0,0,0,0,0,1
000-92-5591,0,0,0,1,1,1,0,1,0,1
000-72-9193,0,1,0,0,0,0,1,1,0,1
000-79-3809,0,0,0,0,0,1,1,0,0,1
000-14-4041,1,0,1,0,1,1,1,0,0,0
000-93-6110,1,0,0,1,1,1,1,0,0,1
000-82-1295,1,0,0,0,0,1,1,0,0,0
000-52-5272,1,1,1,1,0,0,1,1,0,0
000-23-4394,1,0,1,1,1,0,0,1,0,0
000-08-6431,0,1,0,1,0,1,1,1,0,1
000-69-6437,1,0,1,1,0,1,0,1,0,1
000-86-5772,1,1,0,1,0,0,0,1,1,1
000-45-9843,0,0,1,0,0,0,1,1,0,1
000-39-3196,1,0,0,0,1,0,1,0,0,0
000-73-1830,0,1,0,1,1,1,1,1,1,0
000-70-9266,0,0,0,0,1,1,0,0,1,1
000-74-2372,0,0,0,1,0,0,1,1,1,1
000-46-6685,1,1,1,0,0,0,1,0,0,0
000-03-5405,1,1,0,1,1,1,1,0,1,0
000-54-2982,1,0,1,1,0,0,1,0,1,1
000-26-2509,1,1,0,0,1,0,0,1,0,0
000-16-9735,0,1,0,0,1,1,1,0,0,1
000-93-5834,0,1,1,0,0,1,1,0,1,1
000-51-8856,0,1,0,1,1,1,0,0,1,0
000-04-4179,1,1,1,1,0,1,1,0,1,1
000-22-5392,1,0,1,0,1,0,1,0,1,1
000-91-7926,1,0,0,0,1,0,0,0,1,1
000-37-5117,0,0,0,0,0,1,0,1,1,0
000-45-6126,0,1,0,0,0,0,0,0,1,1
000-37-9194,0,0,0,1,1,1,1,0,1,0
000-42-9658,0,0,1,0,0,0,1,0,1,0
000-68-9939,1,1,1,1,1,1,0,1,0,0
000-39-3983,0,1,1,1,1,0,0,0,1,1
000-03-9848,0,1,0,1,0,1,0,1,0,0
000-93-0509,1,1,1,0,1,1,1,0,0,0
000-35-8691,0,0,1,1,0,1,1,0,1,1
000-79-8848,0,1,1,1,0,0,0,0,1,1
000-81-6708,0,0,1,0,0,0,0,1,1,0
000-42-4556,0,1,0,1,0,0,1,0,1,1
