SSN,condition_1,condition_2,condition_3,condition_4,condition_5,condition_6,condition_7,condition_8,condition_9,condition_10
000-97-7359,1,0,1,1,1,0,1,0,0,0
000-30-0987,0,0,1,0,1,0,0,0,1,1
000-97-7860,0,1,1,1,1,0,1,0,0,1
000-10-6927,0,1,1,1,0,1,1,1,1,1
000-21-2045,0,0,0,1,1,0,0,1,0,1
000-92-6272,0,0,1,0,0,1,1,1,0,0
000-21-4623,0,1,0,1,0,0,1,0,0,1
000-78-7332,0,1,1,0,1,0,0,1,0,0
000-66-2022,0,0,0,0,0,0,1,1,0,0
000-78-0282,0,1,0,1,0,0,1,0,1,0
000-17-8496,0,0,1,0,1,0,1,0,1,1
000-26-0941,1,1,0,0,0,1,0,0,0,0
000-60-2938,1,1,1,1,0,1,0,0,1,0
000-16-2107,1,1,0,1,0,0,1,1,0,0
000-47-7493,1,0,0,1,0,0,0,1,1,1
000-73-6290,0,0,1,0,1,0,0,0,0,1
000-84-6908,0,0,0,1,1,0,1,0,0,0
000-61-8846,1,1,0,1,1,0,1,0,1,1
000-35-9252,0,0,0,1,1,1,1,1,0,0
000-96-7375,0,0,1,0,0,0,1,1,1,1
000-65-7770,0,1,0,0,0,1,1,0,0,1
000-82-4722,0,0,1,0,1,0,1,1,0,1
000-60-3307,0,0,1,0,0,1,1,1,1,1
000-30-3244,0,1,0,0,1,0,1,0,0,0
000-20-4430,0,1,0,1,0,1,1,1,0,0
000-30-9019,1,1,1,1,1,1,1,0,1,1
000-16-0616,1,0,1,0,1,1,1,1,0,0
000-00-7848,1,1,0,0,0,0,1,0,1,0
000-02-8543,0,0,0,0,0,0,0,0,0,0
000-81-4051,0,1,1,1,0,0,1,0,1,0
000-65-1235,0,1,0,0,0,1,1,0,1,1
000-35-7633,1,0,0,0,0,0,0,0,0,0
000-31-3936,0,0,0,1,1,0,1,0,1,1
000-63-2297,0,1,0,1,1,1,1,1,0,0
000-72-7870,0,0,1,1,1,0,0,1,1,0
000-91-8811,1,0,0,0,0,0,1,0,0,1
000-44-4281,1,1,0,0,0,0,1,1,1,0
000-22-0680,0,1,0,1,1,1,0,0,0,1
000-43-6353,0,0,1,1,1,0,1,0,0,0
000-31-2379,0,1,0,1,1,0,1,1,0,0
000-69-5203,0,0,1,1,1,0,1,0,1,0
000-24-9913,1,0,1,0,0,1,0,0,0,0
000-42-9095,1,0,1,1,1,0,1,0,0,1
000-72-8991,1,0,0,0,0,0,0,1,0,0
000-94-1252,0,0,1,0,1,1,1,0,0,1
000-85-3891,1,0,1,0,1,1,1,1,1,0
000-92-1788,1,0,0,0,0,1,1,0,0,1
000-81-5046,0,0,0,1,1,1,1,0,0,1
000-93-7201,1,0,1,0,0,0,0,0,1,0
000-35-8081,0,0,0,1,1,1,1,0,0,0
000-60-1895,0,1,0,1,1,1,1,1,1,0
000-55-9675,1,0,1,0,1,1,1,0,0,0
000-12-0571,1,0,1,0,1,1,0,0,1,1
000-29-0279,0,0,1,1,0,0,0,1,0,0
000-78-1457,0,0,0,1,1,1,1,0,1,1
000-16-9299,1,1,0,0,0,0,0,1,1,0
000-14-5113,0,0,0,0,1,0,1,0,0,1
000-39-5281,1,0,0,1,1,0,1,0,1,0
000-00-5805,1,1,0,0,0,1,1,0,1,0
000-73-8703,1,1,1,0,0,0,0,0,1,0
000-44-8565,1,0,0,0,1,0,1,1,1,1
000-47-3065,1,0,0,0,0,1,0,0,0,0
000-02-3130,1,0,0,1,1,1,0,0,0,0
000-61-1937,0,0,1,1,0,0,0,0,1,0
000-47-4479,1,1,0,0,0,1,1,1,1,0
000-17-1989,0,1,0,1,0,0,1,0,1,1
000-47-7611,1,1,0,1,1,0,0,0,0,0
000-85-8503,1,0,1,0,1,0,0,1,1,0
000-52-5081,0,0,0,0,1,1,0,1,0,1
000-73-1084,1,1,0,0,1,1,0,0,1,0
000-56-5449,0,1,1,1,0,1,1,1,0,0
000-26-5750,1,1,1,1,1,0,1,0,0,1
000-77-4430,1,1,0,1,1,1,0,1,1,0
000-55-1902,1,0,0,0,1,1,1,0,0,1
000-07-9365,0,1,1,1,0,1,0,1,0,1
000-12-9362,0,0,0,1,0,1,1,1,0,1
000-59-3373,0,1,1,0,1,1,1,1,1,1
000-15-1474,1,1,0,0,1,1,1,0,0,1
000-90-0856,0,1,1,0,1,0,0,0,1,0
000-89-8869,0,0,1,0,0,1,0,1,0,1
000-62-4932,0,1,1,1,1,1,0,1,0,1
000-92-5238,1,0,1,0,1,1,0,0,1,0
000-11-5545,1,0,0,0,0,0,0,0,1,0
000-63-5337,1,0,1,0,0,1,1,1,1,0
000-83-4897,0,1,0,1,1,0,1,1,0,0
000-40-9170,0,0,0,0,0,0,1,1,0,1
000-66-4043,1,0,1,0,0,0,0,1,0,1
000-00-7881,1,1,0,0,0,0,1,1,1,0
000-45-5446,1,0,0,0,1,0,0,1,1,0
000-94-5864,1,1,1,1,0,1,1,1,1,0
000-97-2426,0,1,0,1,0,0,0,0,0,0
000-75-9859,0,0,1,1,1,0,0,0,0,1
000-72-3534,1,0,0,0,0,1,0,0,1,1
000-51-1849,0,1,1,1,0,0,1,0,1,1
000-84-1971,1,1,1,0,1,1,1,1,1,1
000-88-5261,0,0,0,1,1,0,0,0,1,1
000-82-2564,0,1,0,0,0,1,1,0,1,0
000-58-3669,0,0,1,1,1,1,1,0,0,0
000-01-0436,1,1,1,0,0,1,0,1,0,1
000-37-5753,1,1,0,1,0,1,0,0,0,0
