SSN,condition_1,condition_2,condition_3,condition_4,condition_5,condition_6,condition_7,condition_8,condition_9,condition_10
000-48-5653,0,0,0,1,0,0,1,0,1,1
000-63-0723,1,1,1,0,1,1,0,0,0,0
000-05-7020,0,1,1,1,0,1,1,1,0,1
000-37-3285,1,0,1,1,0,0,0,1,0,1
000-72-8596,0,1,1,1,1,1,0,1,1,0
000-47-2931,1,0,0,0,0,1,0,0,1,1
000-81-2027,1,1,0,1,1,0,0,1,1,1
000-83-5276,0,0,1,1,0,0,1,1,1,1
000-79-3612,0,1,1,1,0,1,0,0,1,0
000-53-9189,0,0,0,0,0,1,1,1,1,1
000-12-0720,1,0,1,1,1,0,0,0,1,1
000-95-7057,0,0,0,1,0,0,1,1,0,1
000-12-9232,0,1,0,0,1,0,0,0,1,1
000-11-7443,1,0,0,1,1,0,1,0,0,0
000-07-7435,1,0,1,0,1,0,0,0,0,0
000-60-6434,0,1,1,1,0,1,1,1,1,0
000-32-9889,0,0,1,1,0,0,1,1,0,1
000-11-4187,1,0,1,0,0,1,1,1,0,1
000-54-0846,1,0,0,0,0,1,0,1,0,0
000-60-5493,1,1,1,0,1,0,0,1,0,1
000-42-2917,1,0,1,1,0,1,0,1,1,1
000-72-3431,1,1,0,0,1,1,1,1,0,1
000-28-1142,0,0,0,0,0,1,1,1,1,1
000-80-6353,0,1,0,1,0,1,0,0,0,1
000-71-9222,0,1,1,0,0,0,0,1,0,1
000-75-1137,1,1,0,0,1,1,1,0,1,1
000-89-9551,1,1,0,0,1,0,1,1,0,1
000-03-6517,1,1,1,0,1,1,0,0,1,0
000-80-5510,1,0,1,1,0,0,0,0,0,1
000-01-1525,0,1,1,0,1,0,0,0,0,1
000-96-0170,0,0,0,0,1,1,1,0,0,0
000-57-8608,1,0,1,1,0,1,1,0,0,1
000-70-1623,0,0,0,1,0,0,0,0,1,0
000-09-7640,0,0,0,1,0,1,0,0,1,1
000-87-1765,1,0,0,1,1,0,1,1,1,1
000-61-6453,0,0,1,1,1,1,1,1,0,0
000-09-6455,1,1,0,1,1,1,0,1,0,0
000-07-3032,0,0,0,0,0,0,0,0,0,0
000-27-9449,0,1,1,1,1,1,1,1,1,0
000-67-7947,0,1,1,1,1,0,1,1,0,1
000-16-0033,1,1,1,0,1,1,0,0,0,0
000-60-8874,0,0,0,1,0,1,0,1,1,0
000-61-4585,0,0,0,1,0,0,0,1,0,1
000-89-3344,0,0,0,0,1,0,0,0,1,0
000-54-9820,0,1,0,1,0,1,0,0,1,0
000-83-4099,1,1,1,1,1,0,1,1,1,1
000-35-5696,0,0,0,0,1,0,0,0,1,0
000-32-0735,0,0,0,0,1,1,1,0,0,0
000-71-2922,1,0,0,1,0,0,0,1,1,1
000-64-2297,0,1,0,0,0,0,0,1,0,0
000-38-5690,1,0,0,1,1,0,1,0,0,1
000-10-4117,0,1,0,0,1,1,1,0,1,1
000-42-9992,1,1,0,0,1,0,0,1,0,0
000-52-9412,0,1,0,0,1,0,0,1,1,0
000-94-2480,0,0,0,0,0,0,1,0,0,0
000-14-1330,1,1,0,0,1,1,1,0,1,1
000-25-8621,0,1,0,0,0,0,0,1,1,0
000-07-3643,0,1,1,0,0,0,1,0,0,1
000-75-5034,0,0,1,0,0,0,1,0,0,1
000-35-0042,1,1,1,0,1,1,1,1,1,0
000-04-5000,0,1,0,1,1,0,0,0,1,1
000-09-1112,1,1,0,0,1,1,1,1,1,0
000-89-9177,1,0,0,1,0,1,1,0,1,0
000-96-6539,0,1,0,1,1,0,1,1,1,1
000-80-9669,1,0,0,1,0,1,0,0,1,0
000-92-3731,0,1,1,0,1,1,1,0,0,1
000-18-8006,0,0,0,0,1,1,1,1,1,0
000-20-4057,1,0,1,1,0,0,0,0,0,1
000-92-5491,0,0,0,1,0,0,1,0,1,1
000-90-6433,1,0,1,1,0,0,0,1,1,0
000-63-1330,0,0,0,0,0,0,1,1,1,0
000-30-9746,1,1,1,1,0,1,0,1,1,0
000-90-8908,0,1,1,0,1,0,1,0,0,0
000-75-0108,0,1,0,0,1,1,1,0,1,0
000-87-7938,1,1,0,0,1,0,0,1,0,0
000-27-8098,1,0,0,1,0,1,0,1,0,0
000-14-7787,1,1,1,1,1,1,0,0,0,0
000-79-3819,1,0,1,1,1,0,1,1,0,1
000-86-9944,1,1,1,1,1,1,1,0,1,1
000-35-6492,1,1,0,1,0,1,1,0,1,0
000-46-1051,0,1,1,1,0,0,0,1,0,1
000-90-9878,0,0,0,1,1,1,1,1,1,1
000-05-2506,1,0,1,1,1,0,1,0,1,1
000-38-9619,1,0,0,1,1,0,1,0,0,0
000-55-2107,0,1,0,0,0,0,0,0,0,0
000-67-0346,0,0,0,1,1,1,0,0,0,1
000-87-0805,0,1,1,1,1,0,0,1,0,0
000-66-9303,1,0,0,0,0,0,1,1,1,1
000-86-1273,1,1,1,0,1,0,1,1,1,0
000-28-9839,1,0,0,1,0,1,1,1,0,1
000-14-9302,1,0,0,0,0,1,1,1,0,0
000-09-0421,0,0,1,1,0,0,1,0,1,1
000-30-4078,0,1,0,1,1,1,0,0,1,1
000-29-4208,1,1,0,0,0,1,1,1,0,0
000-27-9450,1,0,1,1,0,0,0,1,0,0
000-37-3558,1,1,0,1,0,1,1,0,1,1
000-87-4460,1,0,1,1,0,1,0,1,1,1
000-34-5053,0,0,1,0,1,0,1,1,0,0
000-94-4108,0,0,0,1,0,1,0,0,1,0
000-81-8492,1,1,1,0,0,0,1,1,0,1
000-86-7050,1,1,1,1,1,1,1,0,0,1
000-72-4761,0,0,1,0,0,1,0,1,1,1
000-77-0415,1,1,0,0,1,1,1,1,0,1
000-28-8722,0,1,0,0,0,1,1,0,1,0
000-17-5176,1,0,1,0,1,0,1,1,0,0
000-87-3309,1,0,1,0,1,0,1,1,0,0
000-61-6932,0,0,1,1,0,0,1,0,0,1
000-50-2098,0,1,0,1,1,1,1,0,0,1
000-71-0493,0,0,0,1,1,0,0,1,1,1
000-66-2581,0,0,0,0,0,0,0,0,0,0
000-23-7566,0,0,1,0,1,1,0,0,1,1
000-88-7403,1,0,1,1,0,0,0,1,0,1
000-80-1857,0,1,0,1,0,1,1,1,0,0
000-02-0345,0,1,1,1,1,0,1,1,0,0
000-09-1392,0,0,0,0,1,1,0,0,1,0
000-17-1582,0,0,1,0,1,1,0,1,1,0
000-44-4893,0,0,1,1,1,1,0,1,1,0
000-52-1084,0,1,0,1,0,1,0,1,0,1
000-49-9114,0,0,0,1,0,0,1,0,0,0
000-82-3662,0,1,1,0,0,0,0,1,0,0
000-89-3369,0,1,0,0,0,0,1,1,1,1
000-43-6619,0,0,1,1,0,1,0,0,0,0
000-50-3388,1,0,1,0,0,0,0,1,1,0
000-35-5896,1,1,0,0,1,0,0,1,0,0
000-74-7222,1,0,0,1,0,0,1,0,0,0
000-62-4941,1,0,1,0,1,0,1,0,0,0
000-84-9901,0,1,1,0,0,1,1,0,0,1
000-67-3779,0,0,1,0,0,1,1,0,1,1
000-93-0683,0,0,0,0,1,0,0,1,1,1
000-18-8911,0,1,0,1,0,1,0,0,1,0
000-67-9829,0,1,1,0,1,1,0,0,1,1
000-98-5508,1,0,1,1,0,0,1,1,0,1
000-02-4061,0,1,0,0,0,0,0,0,1,1
000-88-7391,0,1,0,1,0,0,0,1,1,0
000-59-1451,0,0,0,0,1,1,1,1,0,0
000-95-0904,0,0,0,0,0,1,0,1,0,0
000-39-2683,1,1,0,1,1,1,0,0,0,0
000-32-2037,1,1,1,1,1,1,1,0,0,1
000-57-2048,1,0,0,0,1,1,0,1,0,1
000-88-4723,1,1,1,1,0,0,0,0,1,0
000-01-1826,1,1,0,0,1,0,1,1,0,1
000-27-0094,0,0,0,0,0,1,0,0,1,0
000-36-8000,1,1,0,1,0,1,1,0,1,0
000-03-8937,1,1,1,0,0,1,0,0,1,0
000-98-1420,0,1,1,1,0,0,1,0,0,1
000-20-1347,0,0,0,0,1,1,0,0,1,1
000-89-8075,1,1,1,0,0,1,1,1,0,1
000-99-2899,1,1,0,0,0,0,1,1,0,1
000-94-1889,1,0,1,0,0,1,1,0,0,1
000-05-6067,1,0,1,0,1,0,1,1,0,1
000-74-6811,0,0,0,0,1,0,0,0,1,1
000-05-6823,1,1,1,0,1,0,1,1,0,1
000-50-8679,1,1,1,1,0,0,0,0,1,1
000-72-2773,1,1,0,0,0,1,0,1,1,1
000-18-6587,1,1,1,1,0,0,1,1,1,0
000-79-7320,1,1,0,0,0,0,1,0,0,0
000-44-1281,1,0,0,1,1,1,1,1,1,0
000-63-7357,1,0,1,0,1,0,1,0,0,1
000-87-0146,1,0,0,1,0,0,0,1,0,0
000-76-0558,0,0,0,1,1,1,1,0,1,0
000-15-8206,1,0,0,1,0,0,1,1,1,0
000-35-8215,0,0,1,1,0,1,0,0,1,1
000-43-5359,1,0,0,0,1,0,1,1,1,1
000-82-3312,1,0,0,0,0,1,1,1,1,0
