SSN,condition_1,condition_2,condition_3,condition_4,condition_5,condition_6,condition_7,condition_8,condition_9,condition_10
000-52-3137,1,1,1,1,1,1,1,0,1,1
000-78-6566,0,1,1,0,1,0,1,1,1,0
000-78-9432,1,1,0,1,0,0,1,0,0,0
000-16-9965,0,1,1,0,1,1,0,1,1,1
000-18-0194,1,1,0,0,1,1,1,1,1,1
000-69-8515,1,0,0,0,1,0,1,1,0,0
000-37-8270,1,0,0,1,0,1,1,1,1,1
000-68-2212,0,1,1,1,0,1,1,0,1,1
000-30-3873,1,0,1,1,1,1,1,1,1,0
000-95-2176,1,1,1,1,1,1,1,1,0,1
000-32-4626,1,1,0,1,1,0,1,0,0,0
000-53-8268,0,1,0,1,0,1,1,1,0,0
000-59-2618,1,0,1,1,1,1,0,0,1,0
000-41-4115,0,1,1,1,0,0,1,0,1,1
000-10-2179,1,1,1,1,0,1,1,0,1,1
000-42-6472,0,0,0,1,1,1,1,1,0,1
000-24-9808,1,0,0,1,0,1,0,0,1,0
000-53-3852,1,0,0,0,1,1,0,0,1,0
000-13-1221,0,0,0,1,0,0,0,0,1,1
000-87-0884,1,0,0,0,1,1,1,1,0,0
000-30-6565,1,0,1,1,0,1,1,0,1,1
000-32-9097,0,1,1,1,1,0,1,0,0,0
000-87-8879,0,1,0,1,0,1,0,0,0,0
000-53-6669,0,1,0,0,0,0,0,1,0,0
000-77-9031,0,0,1,0,1,1,1,0,0,0
000-87-0626,1,1,0,0,0,1,1,1,0,1
000-44-6049,0,1,0,1,1,0,0,1,0,0
000-71-4284,0,0,1,1,1,0,1,0,0,1
000-20-1931,1,0,0,0,0,0,0,1,1,1
000-96-2566,0,0,0,1,0,0,0,1,1,0
000-72-9612,0,1,1,0,0,0,0,0,1,1
000-55-7882,0,1,0,1,1,1,1,0,1,1
000-02-3452,1,1,0,0,1,1,0,1,0,0
000-97-3886,1,0,0,1,1,1,1,0,0,0
000-70-0857,0,1,0,1,1,1,1,1,0,1
000-89-6923,1,0,0,1,1,0,1,1,1,0
000-78-5846,0,1,0,0,1,0,1,1,0,1
000-77-9146,1,0,0,1,1,1,1,1,1,1
000-23-8955,1,0,1,1,0,1,1,0,1,0
000-52-9791,1,0,1,0,0,1,0,0,0,0
000-26-8769,1,0,1,1,1,0,0,0,1,1
000-68-3022,1,0,0,0,0,1,1,0,0,1
000-04-4000,1,0,0,0,1,0,0,1,0,0
000-04-4780,1,1,0,1,0,0,0,0,1,1
000-00-9999,0,0,1,0,0,0,1,1,1,1
000-97-7963,1,0,0,0,0,0,0,1,1,0
000-92-4414,1,0,1,1,1,1,0,1,0,1
000-81-6763,1,0,1,0,1,1,0,1,1,0
000-01-3530,1,0,0,1,0,0,1,0,1,0
000-05-6175,0,0,0,1,0,1,0,0,0,1
000-48-9019,0,0,1,1,0,1,1,1,0,1
000-91-8784,0,1,1,1,1,1,0,1,1,1
000-08-9586,1,0,0,1,0,1,0,1,1,1
000-86-2783,1,1,0,0,0,0,0,0,1,1
000-14-3916,0,1,0,1,1,1,0,1,1,1
000-81-8613,0,1,1,1,1,0,0,1,1,0
000-67-1332,1,1,0,1,0,0,1,0,0,0
000-85-6790,1,0,0,0,0,0,1,1,1,1
000-05-9820,1,0,0,1,1,1,0,1,0,1
000-11-6016,1,1,0,0,1,0,0,1,0,0
000-28-0321,1,1,0,0,0,1,0,0,1,0
000-83-9225,1,0,1,0,0,0,0,1,0,1
000-01-1175,1,0,1,0,1,1,1,0,1,0
000-81-0034,1,0,0,1,1,1,0,1,1,0
000-67-4073,1,1,0,0,1,1,1,1,1,1
000-39-9839,1,1,1,0,1,0,0,0,0,0
000-72-1581,1,0,1,0,1,0,0,1,0,1
000-67-5900,0,0,0,1,1,1,1,1,0,1
000-93-2024,1,1,1,1,0,0,1,1,0,0
000-14-4772,0,0,0,1,0,1,1,1,0,1
000-04-6267,0,0,1,1,0,1,0,0,1,0
000-84-8781,1,1,1,1,0,1,0,0,1,1
000-44-3406,0,0,1,0,1,0,0,1,0,0
000-94-6853,1,1,0,0,1,0,1,0,1,1
000-42-5937,1,1,0,0,1,0,0,1,0,1
000-18-5297,1,0,0,0,1,0,1,1,0,1
000-22-1697,0,0,0,1,0,0,0,1,0,1
000-46-1984,1,0,1,0,0,1,0,1,0,0
000-61-5051,0,1,0,1,0,0,1,1,0,1
000-30-1939,1,0,1,0,0,0,0,1,0,1
000-08-3943,1,0,0,1,1,0,1,0,0,0
000-66-0399,0,1,0,0,1,0,0,1,1,1
000-23-3652,1,0,1,0,0,0,1,1,1,0
000-81-5171,0,1,1,1,0,1,0,1,0,1
000-33-4105,0,1,1,1,0,1,0,1,1,1
000-40-7360,1,1,0,0,1,1,1,1,1,1
000-99-9840,1,0,1,0,0,0,0,1,1,0
000-19-8016,0,0,0,1,0,1,1,0,0,0
000-84-3944,1,0,1,1,1,1,1,1,1,0
000-66-7183,1,1,0,0,1,0,1,0,1,0
000-44-9897,0,0,0,0,0,0,0,0,0,1
000-72-4145,0,0,1,0,0,1,1,0,0,0
000-54-9816,1,1,1,1,1,1,1,1,1,1
000-39-8879,0,0,0,1,1,0,1,1,1,0
000-39-5075,0,1,1,1,1,0,1,0,0,0
000-20-7515,0,1,0,0,1,0,0,1,0,0
000-76-0514,0,0,0,0,0,1,1,0,1,1
000-94-5339,0,0,1,1,1,1,0,0,1,1
000-65-2424,0,1,0,0,0,1,0,0,1,1
000-07-5191,1,0,0,0,0,1,1,1,0,0
