SSN,condition_1,condition_2,condition_3,condition_4,condition_5,condition_6,condition_7,condition_8,condition_9,condition_10
000-88-7945,0,1,1,1,1,1,1,1,0,0
000-36-6490,1,1,1,0,0,0,1,0,1,0
000-17-6642,1,1,1,0,1,0,0,0,1,0
000-70-5814,0,0,1,1,1,1,1,0,1,1
000-29-0155,1,1,0,0,0,0,1,0,0,1
000-77-2430,1,1,1,1,0,0,0,0,0,1
000-95-0644,0,1,1,0,1,0,0,0,0,1
000-75-5530,0,0,1,0,0,0,1,0,0,1
000-68-5667,0,1,1,1,1,0,1,0,0,0
000-22-6136,0,0,1,0,1,0,0,0,1,0
000-30-6669,1,1,0,0,1,0,0,0,1,1
000-44-3733,1,1,1,1,0,0,1,0,1,0
000-85-1438,1,0,1,1,1,0,0,0,1,0
000-21-8784,0,1,1,1,0,1,0,0,0,0
000-59-0597,0,1,1,1,0,0,1,0,1,0
000-17-9646,1,1,0,0,1,1,0,1,1,1
000-01-1121,0,1,0,1,0,0,0,1,0,1
000-59-6465,1,1,0,1,1,1,1,1,0,1
000-77-6012,1,1,0,1,1,0,0,1,1,0
000-52-7649,1,1,0,0,0,1,0,1,1,0
000-34-0773,0,1,1,1,1,1,1,1,1,0
000-53-6630,1,1,0,1,1,1,0,1,0,0
000-14-0633,0,0,0,0,0,1,0,0,1,1
000-01-5223,0,1,0,1,1,0,1,1,0,0
000-65-0661,0,1,1,0,0,0,0,1,1,1
000-46-9127,0,1,1,0,0,1,0,1,0,0
000-39-5972,0,0,0,0,1,1,1,1,0,0
000-23-8385,0,1,1,1,0,0,0,0,0,1
000-94-3029,0,0,1,1,0,0,1,0,1,0
000-71-3311,0,1,1,0,1,1,1,1,1,1
000-50-1158,0,0,0,1,0,0,0,1,1,1
000-67-9131,0,1,0,0,0,1,0,0,1,0
000-98-1738,1,0,1,0,0,1,0,1,1,0
000-21-3375,1,0,0,1,1,1,0,1,1,1
000-97-3840,0,1,1,0,0,1,0,1,0,1
000-22-7412,1,0,0,0,0,0,1,1,1,0
000-32-8453,1,0,1,1,1,1,0,1,0,0
000-97-6574,1,0,0,1,0,0,1,0,1,1
000-28-5963,0,1,0,0,0,1,0,0,1,1
000-60-4479,0,0,0,0,1,1,1,1,0,0
000-69-8577,1,0,0,0,1,1,1,1,0,1
000-61-6633,0,1,1,1,0,1,1,0,1,1
000-02-9078,0,0,1,1,1,1,0,1,1,0
000-35-5635,0,1,0,0,1,0,0,1,1,0
000-63-0513,0,0,0,1,1,0,1,1,1,0
000-29-3611,1,0,1,0,1,1,1,0,1,0
000-85-9557,1,1,1,0,0,1,1,1,0,1
000-82-0161,0,1,0,0,1,1,1,0,1,1
000-32-9696,0,0,0,0,1,0,1,1,1,0
000-24-3226,0,0,1,1,0,1,0,0,0,1
000-67-8957,1,1,1,1,0,1,1,1,1,1
000-66-3786,1,0,1,0,1,0,1,1,0,1
000-44-7487,0,0,0,0,1,1,0,1,1,0
000-17-9907,1,1,0,1,0,1,0,0,0,0
000-92-9408,0,0,0,1,0,1,0,1,0,0
000-42-0226,1,1,1,0,0,1,0,0,0,0
000-28-8414,1,1,1,1,0,0,0,1,1,0
000-06-4945,1,0,0,0,0,1,1,1,0,1
000-51-5862,0,0,1,1,0,1,1,0,0,0
000-05-6705,1,1,0,0,1,0,1,1,1,0
000-21-0571,0,0,1,0,0,0,1,1,0,1
000-58-7997,0,1,0,0,0,0,0,1,0,1
000-78-8011,1,0,1,0,1,0,0,1,0,1
000-03-4795,0,1,1,0,1,1,0,0,0,0
000-27-9523,1,1,0,0,0,0,1,0,1,1
000-65-4950,1,0,0,0,1,0,0,0,0,0
000-78-1177,0,1,1,0,1,0,1,1,1,0
000-79-4805,0,1,1,1,0,1,0,0,1,0
000-41-3537,1,0,0,0,0,0,0,1,1,0
000-74-6235,0,0,1,1,1,1,1,0,1,1
000-22-7643,1,1,0,1,1,1,0,0,1,1
000-16-8652,1,1,1,1,0,1,1,0,0,0
000-52-7872,1,1,1,1,0,0,0,0,0,0
000-04-1427,0,0,0,1,0,0,1,1,0,1
000-95-4871,1,0,0,1,1,0,0,1,1,0
000-32-6019,0,1,0,1,1,1,1,1,1,1
000-80-6845,1,0,0,0,0,1,0,1,0,0
000-72-3818,1,0,0,0,0,1,1,1,0,0
000-12-9518,0,0,0,0,1,1,0,1,0,1
000-35-8768,1,0,1,0,0,0,1,1,1,1
000-22-1773,1,1,1,0,1,1,1,0,0,1
000-51-3406,1,0,0,1,0,1,1,0,0,0
000-84-6322,0,1,1,0,0,1,1,1,1,0
000-70-0503,1,1,1,1,1,1,1,1,1,1
000-71-6542,0,0,1,0,1,0,0,1,0,1
000-55-6362,1,1,0,1,1,0,1,1,1,0
000-31-2041,1,1,0,1,1,1,0,1,1,0
000-17-6233,0,0,1,1,0,1,0,1,1,0
000-33-6881,1,1,0,0,1,0,1,0,1,1
000-68-3452,0,0,1,0,0,1,0,1,0,0
000-80-7808,0,1,0,0,1,0,0,0,0,0
000-59-1540,1,0,1,1,0,0,1,0,1,1
000-61-4436,0,0,1,1,0,1,0,1,1,1
000-27-8117,1,0,1,0,1,1,0,1,0,1
000-84-8903,0,0,0,0,1,1,0,1,0,1
000-38-7860,0,0,1,1,0,1,1,1,0,0
000-19-9592,1,0,0,1,0,0,0,0,0,1
000-35-2970,1,1,0,1,1,0,0,1,0,0
000-59-8392,1,0,0,0,0,0,1,1,1,1
000-89-8856,1,1,0,0,0,0,0,1,1,0
